gx,gy,餐饮,咖啡,便利店,药店,健身,托育,银行,停车,诊所,夜经济,生活服务,其他办公,其他,total
0,2,0,1,4,1,0,0,0,0,1,0,0,0,0,7
0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,5
0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,2
0,5,0,6,2,0,0,0,2,5,1,0,0,0,0,16
0,6,0,0,4,1,1,0,5,1,0,0,0,0,0,12
0,7,0,2,3,0,0,0,2,0,0,0,0,0,3,10
1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,4,7,1,0,0,1,0,1,1,1,0,0,0,0,12
1,5,0,0,0,0,0,0,6,15,0,0,0,0,0,21
1,6,1,4,3,1,0,0,1,0,3,2,0,0,0,15
1,7,1,3,6,2,2,0,0,7,3,0,0,0,4,28
1,8,0,5,4,0,3,0,0,3,0,0,0,0,12,27
2,4,1,1,0,0,0,0,0,2,0,0,0,0,0,4
2,5,6,3,2,1,0,0,1,6,0,0,0,0,3,22
2,6,10,2,5,0,3,0,3,2,0,0,0,0,0,25
2,7,3,4,4,1,2,0,2,9,0,0,0,0,16,41
2,8,0,2,0,0,0,0,1,1,0,0,0,0,2,6
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,1,5,2,1,0,2,0,5,1,0,0,0,0,2,18
3,2,2,1,3,0,0,0,6,2,0,0,0,0,0,14
3,3,6,0,0,0,0,0,0,3,0,0,0,0,0,9
3,4,0,2,0,0,0,0,0,2,0,0,0,0,0,4
3,5,4,1,3,0,1,0,0,4,0,0,0,0,2,15
3,6,10,0,2,0,1,0,4,9,0,0,0,0,3,29
3,7,15,0,4,0,0,0,0,2,1,0,0,0,9,31
3,8,0,0,0,1,0,0,0,2,0,0,0,0,0,3
4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,3,16,1,1,0,0,0,0,0,0,0,0,0,0,18
4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,3
4,5,5,5,6,1,2,0,4,10,1,0,0,0,4,38
4,6,33,1,6,6,1,0,3,10,1,0,0,0,8,69
4,7,11,1,5,2,0,0,0,1,0,0,0,0,9,29
4,8,0,0,2,1,0,0,0,2,1,0,0,0,1,7
4,9,0,0,0,0,0,0,0,2,0,0,0,0,3,5
5,2,0,0,0,0,0,0,1,1,1,0,0,0,0,3
5,3,19,1,0,0,1,0,0,3,0,0,0,0,0,24
5,4,2,1,0,0,0,0,0,3,0,0,0,0,0,6
5,5,0,1,1,0,0,0,0,1,1,0,0,0,0,4
5,6,0,0,0,2,0,0,0,3,2,0,0,0,0,7
5,7,0,0,0,0,0,0,0,2,0,0,0,0,0,2
5,9,0,0,1,0,1,0,0,0,0,0,0,0,0,2
6,1,2,1,3,0,0,0,1,2,1,0,0,0,0,10
6,2,3,1,0,0,0,0,0,5,1,0,0,0,6,16
6,3,8,0,0,1,2,0,0,7,0,0,0,0,0,18
6,4,1,0,1,0,0,0,0,2,0,0,0,0,0,4
6,5,0,0,0,0,2,0,0,3,0,0,0,0,2,7
6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,2
6,8,0,0,1,0,0,0,0,2,0,0,0,0,0,3
6,9,0,0,0,2,0,0,0,0,0,0,0,0,0,2
7,2,1,0,0,0,0,0,2,1,0,0,0,0,0,4
7,3,0,0,3,0,0,0,0,2,1,0,0,0,6,12
7,4,5,0,1,0,0,0,0,2,0,0,0,0,0,8
7,5,4,1,2,0,0,0,0,2,1,0,0,0,0,10
7,6,2,0,2,0,0,0,0,0,0,0,0,0,0,4
7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,8,0,0,5,0,0,0,0,1,0,0,0,0,1,7
7,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,2,4,2,2,4,0,0,1,8,1,0,0,0,4,26
8,3,4,2,10,0,2,0,1,11,3,0,0,0,13,46
8,4,3,2,5,0,2,0,0,12,0,0,0,0,2,26
8,5,6,3,6,1,1,0,2,5,0,0,0,0,0,24
8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,2,5,0,1,0,0,0,0,0,1,0,0,0,2,9
9,3,0,0,1,1,1,0,0,5,1,0,0,0,4,13
9,4,1,2,4,0,0,0,1,2,1,0,0,0,2,13
9,5,7,0,4,2,0,0,1,4,2,0,0,0,3,23
